source_group,language_group,prefecture_normalized,city,n_reviews,n_scored,mean_sentiment_score,median_sentiment_score,mean_review_rating,n_review_rating_present,negative_count,negative_pct,neutral_count,neutral_pct,positive_count,positive_pct,neutral_0_10_negative_count,neutral_0_10_negative_pct,neutral_0_10_neutral_count,neutral_0_10_neutral_pct,neutral_0_10_positive_count,neutral_0_10_positive_pct,neutral_0_20_negative_count,neutral_0_20_negative_pct,neutral_0_20_neutral_count,neutral_0_20_neutral_pct,neutral_0_20_positive_count,neutral_0_20_positive_pct,rating_distribution_json
google_maps_outscraper,english,Fukui,Fukui,214,214,0.690213,0.8167,4.53271,214,11,0.051402,8,0.037383,195,0.911215,11,0.051402,8,0.037383,195,0.911215,9,0.042056,11,0.051402,194,0.906542,"{""1"": 8, ""2"": 2, ""3"": 12, ""4"": 38, ""5"": 154}"
google_maps_outscraper,japanese,Fukui,Fukui,1800,1800,0.397134,0.375,4.261667,1800,132,0.073333,365,0.202778,1303,0.723889,121,0.067222,404,0.224444,1275,0.708333,103,0.057222,502,0.278889,1195,0.663889,"{""1"": 44, ""2"": 38, ""3"": 236, ""4"": 567, ""5"": 915}"
