figure_id,prefecture,city,source_group,language_source_group,sentiment_tool,n_reviews,n_scored,positive_pct,neutral_pct,negative_pct,positive_count,neutral_count,negative_count,mean_sentiment_score,mean_review_rating,date_range_start,date_range_end,review_date_parseable_count,review_date_missing_count,poi_mix,source_hashes,caveat
jp_en_library_sentiment_secondary_check,Fukui,Fukui,google_maps_outscraper,english-language Google reviews,VADER,214,214,91.121,3.738,5.14,195,8,11,0.690213,4.53271,2024-06-25,2026-05-26,181,33,castle_historic=54; market_shopping=30; museum_cultural=41; nature_scenic=37; temple_shrine=52,"{""poi_metadata_sha256"": ""34b088a57c0e61d23471cf3745ca2ec6e2811dce71aa7ab2a5a508fa5178e79a"", ""reviews_input_sha256"": ""6bc06f34848954674506f6fefb84ffd9689b4cc9b2c90780fd5c8fc45eafaa56""}","Secondary library-score check only; reviewed JP/EN codebook evidence is an audit/sensitivity path. Groups are language/source labels, not nationalities."
jp_en_library_sentiment_secondary_check,Fukui,Fukui,google_maps_outscraper,japanese-language Google reviews,oseti,1800,1800,72.389,20.278,7.333,1303,365,132,0.397134,4.261667,2024-06-02,2026-05-29,1800,0,castle_historic=485; food_dining=11; market_shopping=50; museum_cultural=567; nature_scenic=335; temple_shrine=352,"{""poi_metadata_sha256"": ""34b088a57c0e61d23471cf3745ca2ec6e2811dce71aa7ab2a5a508fa5178e79a"", ""reviews_input_sha256"": ""6bc06f34848954674506f6fefb84ffd9689b4cc9b2c90780fd5c8fc45eafaa56""}","Secondary library-score check only; reviewed JP/EN codebook evidence is an audit/sensitivity path. Groups are language/source labels, not nationalities."
